Nom,Lien_Toonily,Lien_MangaDemon,Lien_ScanManga,Dernier_Vu
[traditional erotic fairy tales] kong g-spot rat,0,0,https://m.scan-manga.com/14359/%5BTraditional-Erotic-Fairy-Tales%5D-Kong-G-spot-Rat.html,-1
[traditional erotic fairy tales] please take a bite of the rice cake!,0,0,https://m.scan-manga.com/13627/%5BTraditional-Erotic-Fairy-Tales%5D-Please-Take-a-Bite-of-the-Rice-Cake.html,-1
[traditional erotic fairy tales] series,0,0,https://m.scan-manga.com/12220/%5BTraditional-Erotic-Fairy-Tales%5D-Series.html,-1
[traditional erotic fairy tales] simcheong x dragon king,0,0,https://m.scan-manga.com/12924/%5BTraditional-Erotic-Fairy-Tales%5D-Simcheong-X-Dragon-King.html,-1
[traditional erotic fairy tales] the circumstances of doryeong the rabbit,0,0,https://m.scan-manga.com/13808/%5BTraditional-Erotic-Fairy-Tales%5D-The-Circumstances-of-Doryeong-the-Rabbit.html,-1
[traditional erotic fairy tales] the weaver girl is too much!,0,0,https://m.scan-manga.com/13980/%5BTraditional-Erotic-Fairy-Tales%5D-The-Weaver-Girl-is-Too-Much.html,-1
a 'dimwitted' monk fell from heaven,0,0,https://m.scan-manga.com/5135/A-Dimwitted-Monk-fell-from-Heaven.html,-1
a 0.0000001% demon king,0,https://mgdemon.org/manga/A-0.0000001%2525-Demon-King-VA54,https://m.scan-manga.com/14383/A-00000001-Demon-King.html,-1
a bad friend,https://toonily.com/webtoon/bad-friend/,0,0,-1
a bad person,0,https://mgdemon.org/manga/A-Bad-Person-VA54,0,-1
